Sample	RNA-SeQCv2_mqc-generalstats-rna_seqcv2-Expression_Profiling_Efficiency	RNA-SeQCv2_mqc-generalstats-rna_seqcv2-Genes_Detected	RNA-SeQCv2_mqc-generalstats-rna_seqcv2-rRNA_Rate	STAR_mqc-generalstats-star-uniquely_mapped_percent	STAR_mqc-generalstats-star-uniquely_mapped	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
BON_B09-8_1	0.905059	22687	0.0190729	92.8	56517319.0	79.06787865707726	50.0	101.0	9.090909090909092	135881597.0
BON_B15-95_CHX_1	0.899567	23676	0.00402344	92.85	73084079.0	34.25292929052239	50.0	101.0	0.0	196935683.0
BON_B16-38	0.908525	21625	0.0179991	91.06	42245316.0	67.34814423191318	50.0	101.0	9.090909090909092	103928909.0
BON_B18-23_CHX_1	0.901224	24432	0.00361881	93.55	65091525.0	36.16952890205314	50.0	101.0	0.0	167143754.0
BON_B18_65_CHX_1	0.895727	20818	0.0043119	91.68	34758826.0	32.512158300485225	49.0	101.0	9.090909090909092	98501670.0
BON_B19-03_CHX_1	0.908565	22161	0.00346025	92.8	40981680.0	31.65107289857049	49.0	101.0	9.090909090909092	108570898.0
BON_B19-45_CHX_1	0.900188	23409	0.0032156	93.69	65066470.0	34.9512877769108	49.0	101.0	0.0	166506902.0
BON_B19-52_CHX_1	0.903492	22894	0.00385546	92.29	39760491.0	31.341602863862505	49.0	101.0	9.090909090909092	107617562.0
BON_B19-54_CHX_1	0.897797	23295	0.00429926	92.86	64518789.0	34.81250673007639	49.0	101.0	0.0	172014609.0
BON_B19-57_1	0.899412	23502	0.0230406	93.27	57430158.0	84.47917475042742	50.0	101.0	9.090909090909092	137211432.0
BON_B19-59_CHX_1	0.898933	23575	0.00328042	92.83	67061246.0	33.89956024551279	50.0	101.0	0.0	180595741.0
BON_B20_36_CHX_1	0.876828	22997	0.00449505	89.39	43294912.0	33.926716749963006	49.0	101.0	9.090909090909092	128886112.0
MAN_0694_01	0.797448	17665	0.00407809	55.22	17471925.0	44.71443245718185	59.0	101.0	9.090909090909092	138877079.0
RGP_1214_3_M1	0.940788	20360	0.0133218	93.25	50700498.0	54.00487644234187	50.0	101.0	9.090909090909092	120183956.0
RGP_800_3_3	0.939913	22790	0.0223051	92.61	137108848.0	86.16038817447253	49.0	101.0	9.090909090909092	329901200.0
